140
1	1	2	4	3
2	2	3	5	4
3	3	4	6	5
4	4	5	7	6
5	5	6	8	7
6	6	7	9	8
7	7	8	10	9
8	8	9	11	10
9	9	10	12	11
10	10	11	13	12
11	11	12	14	13
12	12	13	15	14
13	13	14	16	15
14	14	15	17	16
15	15	16	18	17
16	16	17	19	18
17	17	18	20	19
18	18	19	21	20
19	19	20	22	21
20	20	21	23	22
21	21	22	24	23
22	1	2	5	4
23	2	3	6	5
24	3	4	7	6
25	4	5	8	7
26	5	6	9	8
27	6	7	10	9
28	7	8	11	10
29	8	9	12	11
30	9	10	13	12
31	10	11	14	13
32	11	12	15	14
33	12	13	16	15
34	13	14	17	16
35	14	15	18	17
36	15	16	19	18
37	16	17	20	19
38	17	18	21	20
39	18	19	22	21
40	19	20	23	22
41	20	21	24	23
42	1	2	6	5
43	2	3	7	6
44	3	4	8	7
45	4	5	9	8
46	5	6	10	9
47	6	7	11	10
48	7	8	12	11
49	8	9	13	12
50	9	10	14	13
51	10	11	15	14
52	11	12	16	15
53	12	13	17	16
54	13	14	18	17
55	14	15	19	18
56	15	16	20	19
57	16	17	21	20
58	17	18	22	21
59	18	19	23	22
60	19	20	24	23
61	1	2	7	6
62	2	3	8	7
63	3	4	9	8
64	4	5	10	9
65	5	6	11	10
66	6	7	12	11
67	7	8	13	12
68	8	9	14	13
69	9	10	15	14
70	10	11	16	15
71	11	12	17	16
72	12	13	18	17
73	13	14	19	18
74	14	15	20	19
75	15	16	21	20
76	16	17	22	21
77	17	18	23	22
78	18	19	24	23
79	1	2	8	7
80	2	3	9	8
81	3	4	10	9
82	4	5	11	10
83	5	6	12	11
84	6	7	13	12
85	7	8	14	13
86	8	9	15	14
87	9	10	16	15
88	10	11	17	16
89	11	12	18	17
90	12	13	19	18
91	13	14	20	19
92	14	15	21	20
93	15	16	22	21
94	16	17	23	22
95	17	18	24	23
96	1	2	9	8
97	2	3	10	9
98	3	4	11	10
99	4	5	12	11
100	5	6	13	12
101	6	7	14	13
102	7	8	15	14
103	8	9	16	15
104	9	10	17	16
105	10	11	18	17
106	11	12	19	18
107	12	13	20	19
108	13	14	21	20
109	14	15	22	21
110	15	16	23	22
111	16	17	24	23
112	1	2	10	9
113	2	3	11	10
114	3	4	12	11
115	4	5	13	12
116	5	6	14	13
117	6	7	15	14
118	7	8	16	15
119	8	9	17	16
120	9	10	18	17
121	10	11	19	18
122	11	12	20	19
123	12	13	21	20
124	13	14	22	21
125	14	15	23	22
126	15	16	24	23
127	1	2	11	10
128	2	3	12	11
129	3	4	13	12
130	4	5	14	13
131	5	6	15	14
132	6	7	16	15
133	7	8	17	16
134	8	9	18	17
135	9	10	19	18
136	10	11	20	19
137	11	12	21	20
138	12	13	22	21
139	13	14	23	22
140	14	15	24	23
